ID,Track A,Track B
80e3aa96-815d-4683-980c-16db42eab0ef,C8|C11,
f55a819f-3fb9-4c8f-8859-a5b1649ff2d5,C15|C21,
2cd1f674-a411-4860-82c6-a16ba624b172,C10|C11,
923c459f-2ead-4c18-a204-751574ed6ae3,C15,
2e83ae4f-dca0-4931-bb13-d13d672e14e1,C5|C13,
cb846c3c-8900-4b40-917b-0bd848114d00,C1|C21,
a082017c-d1cf-47c3-984b-48cd78048951,C10|C21|C5,
39ae0e0f-cac1-416b-ace8-b72ca6354807,C20|C16|C5,
75a17b6a-ce1b-4a5e-b843-bdd967e81580,C20|C3,
c4e11e51-c978-4d39-bfc0-c298d2e7ac16,C23|C18,
404fb825-8603-4497-91ce-92e40d4a2164,C22|C1|C22,
c95c7270-9e74-47b8-b475-eff7d7c3b5eb,C22|C23|C20,
a7b35fcb-2fe5-4c3a-bf50-58fd5f3d7d1b,C14,
b0ef4fd7-e69f-4659-b71b-a5af2b53c24d,C2|C13|C16,
6f1825be-13f8-4604-948b-aac796e32344,C5|C17,
74abdf87-76b3-434f-aecf-735dd4d82345,C14|C14|C5,
acb898f7-5e9f-4c39-ba2f-ac677ae6355c,C5,
06df7252-3bfe-4a3d-9806-189404de1c9b,C12,
e5930631-de96-4c81-bd7a-e1bbaaa9bede,C23|C11|C10,
c0d6fcb9-3c93-45ad-9a1b-98cce32086d0,C13|C20|C6,
f1d0426c-94a2-496e-b5c5-d8ead9e867ca,C10|C15,
558e64d5-26af-4977-9551-8e1630686b19,C10|C12,
06b971d7-131a-4a2c-976f-a433d6f028cd,C14|C16,
28312271-c54b-4840-8596-5645346e0ba7,C10|C17|C18,
aa431504-d22a-44dc-b539-c364985b6f75,C2,
8ed1021f-abd2-4fdb-9a4e-b0b6a4869c11,C2,
be3d8972-47e7-4f0a-8979-e1fe1d272212,C4|C14,
873fc69e-de64-43c8-ae3b-8f02060b47eb,C23|C1,
953a2987-d2cb-4697-8f77-760546a1845c,C9,
57895e51-e6e0-4d9a-bf80-94cd2cee557f,C7|C5,
ec36b28f-50fb-4ea4-9bae-cf5add603526,C18,
a13f26bb-650c-41e0-bda7-4eb1fa2f15b7,C13|C2,
a94886e5-732b-4786-9a3d-a0730a1aa23d,C9|C19,
dc8c7b18-2e52-4d8f-b283-e7c8af8eaccd,C8|C3,
db60dc66-0cf4-4294-a2a5-9561ac03d18a,C21,
473e08dd-1acf-49c8-9730-8e1962f202cf,C17,
261da544-08ac-48da-80f0-d3f9ada44f29,C13|C17|C8,
8b1ccd46-7cca-465e-9c02-1862afaa907d,C7|C13,
55477a77-37d4-467a-9511-9f99866644b2,C3,
82e04c0a-479d-4be8-a0eb-5456ad418b75,C7|C13|C10,
4760488a-0f65-447c-82c5-9523ba4afda9,C5|C11,
047973ff-6f7b-4760-88a6-acd32a89fc00,C23|C18|C23,
9eb599d5-bbfb-4d59-81e2-c435b4486894,C23|C19,
4d39f7f8-6467-4dce-bc31-c2292e7407a6,C4|C1,
074d8dcd-dca7-4102-babd-4b0ba4c5813d,C17,
51d20b8e-e226-4601-b2a5-7269a68e8285,C24|C10,
f902d75d-dbac-46ed-8cea-e81c1d1e213f,C3,
3720ba2c-7aac-41f5-a408-b37379a33b6e,C16|C4|C9,
f45d84d2-ae71-42ef-b814-4d4d9fbddf46,C10|C15,
66c959ea-332d-4802-a7ff-af79dc2bf566,C22,
eb655747-35b4-4ea2-bf73-5bb03e299faa,C23|C22,
2e3d9609-f71f-4344-b2e7-ca6620fa1224,C22|C5,
7283e6f7-0f5a-45da-805e-8d710e5ceaf2,C17|C10|C19,
e9d5b45b-6be6-432d-8289-36892bf73426,C12,
07fb0741-dbe8-488b-a5a3-2f51e20533ea,C3,
eb31cd59-dac8-42a0-96ef-3aae0b056a09,C1|C10,
09a398d6-d9af-4eb6-8cf7-cc0db6cdada9,C15|C13,
33780221-c9be-4da1-b5c8-1fb5fb87fd7c,C21|C19|C12,
059e81bf-125a-4500-82c4-9a636ed2f76e,C10|C24,
2c8c8f98-5c31-4f15-af64-61c445a37b09,C4|C23,
bc51228a-4d7e-48c7-a2fb-8ed9b5383964,C4,
b013a598-26c4-44be-b6a3-741291489b97,C11|C4,
37babafe-bf9f-448e-b9d4-09a8b8025352,C4|C8|C19,
78ff9e6c-ae81-44f8-b0dd-dc2ecc9c8afe,C22|C3|C19,
7db4595e-509b-4947-b1f8-070dc7690da4,C7|C19,
06dde601-83f3-4aba-a2e4-b73d1fa430bc,C11|C1|C5,
e1ca3a6b-32df-4a80-82c8-52a2b9ed7a95,C16|C12,
21a770ea-10f3-4a02-8fb2-e98c2a6798f0,C7,
08a2494c-2a8e-46ea-9817-9429ef801f8a,C21|C17|C17,
83ab9a55-ae4f-44cc-a353-14dbec2e76a0,C11|C5|C20,
228d7c46-245d-459d-961c-035f58d77e99,C7|C20|C7,
127185e7-f195-48f3-8c5d-11b786a57bde,C1|C11,
be9afd70-1eb5-409e-b5de-bde1ec49b3c4,C10,
